mag,place,latitude,longitude,year
3.2,"9 km ESE of Jefferson, Oklahoma",36.6968,-97.6837,2018
3.2,"1 km ENE of Cushing, Oklahoma",35.9936,-96.7497,2018
3.4,"6 km WNW of Arcadia, Oklahoma",35.6805,-97.3925,2018
3.7,"10 km SSE of Marshall, Oklahoma",36.0674,-97.5709,2018
4.0,"10 km SSE of Marshall, Oklahoma",36.0725,-97.5641,2018
3.0,"10 km SSE of Marshall, Oklahoma",36.0706,-97.5685,2018
4.0,"10 km SSE of Marshall, Oklahoma",36.0713,-97.5655,2018
3.0,"10 km SSE of Marshall, Oklahoma",36.0718,-97.5679,2018
3.7,"10 km SSE of Marshall, Oklahoma",36.0716,-97.5655,2018
3.0,"9 km SW of Waynoka, Oklahoma",36.5352,-98.9636,2018
3.2,"15 km SSE of Waynoka, Oklahoma",36.4609,-98.7946,2018
3.0,"5 km E of Hennessey, Oklahoma",36.1026,-97.8347,2018
3.0,"3 km NE of Renfrow, Oklahoma",36.945,-97.6324,2018
3.0,"2 km NE of Renfrow, Oklahoma",36.9404,-97.6368,2018
3.0,"3 km NE of Renfrow, Oklahoma",36.946999999999996,-97.6251,2018
3.4,"12 km WSW of Ralston, Oklahoma",36.4642,-96.8665,2018
3.0,"13 km ESE of Orlando, Oklahoma",36.1252,-97.2366,2018
3.1,"3 km ENE of Renfrow, Oklahoma",36.9394,-97.6233,2018
3.0,"2 km NE of Renfrow, Oklahoma",36.9424,-97.6323,2018
3.6,"3 km ENE of Renfrow, Oklahoma",36.9451,-97.6185,2018
3.1,"6 km N of Dover, Oklahoma",36.0386,-97.9022,2018
3.5,"6 km N of Dover, Oklahoma",36.036,-97.9043,2018
3.6,"16 km SSE of Waynoka, Oklahoma",36.4506,-98.7849,2018
3.1,"16 km ENE of Thomas, Oklahoma",35.7812,-98.57600000000001,2018
4.6,"8 km NNE of Marshall, Oklahoma",36.2185,-97.5735,2018
3.1,"8 km NE of Marshall, Oklahoma",36.2151,-97.5686,2018
3.1,"5 km ESE of Covington, Oklahoma",36.2982,-97.5311,2018
3.5,"7 km W of Arcadia, Oklahoma",35.6721,-97.4039,2018
3.7,"5 km WNW of Lucien, Oklahoma",36.2871,-97.5092,2018
4.6,"5 km WNW of Lucien, Oklahoma",36.2896,-97.5166,2018
3.3,"8 km NNE of Marshall, Oklahoma",36.2189,-97.5735,2018
3.0,"5 km WNW of Lucien, Oklahoma",36.2884,-97.5152,2018
3.9,"5 km WNW of Lucien, Oklahoma",36.2854,-97.5106,2018
3.0,"4 km W of Lucien, Oklahoma",36.2831,-97.5084,2018
3.5,"12 km WSW of Ralston, Oklahoma",36.4671,-96.8676,2018
3.6,"12 km WSW of Ralston, Oklahoma",36.4665,-96.8674,2018
3.1,"10 km SE of Marshall, Oklahoma",36.0865,-97.5442,2018
3.1,"13 km W of Union City, Oklahoma",35.378,-98.09200000000001,2018
3.0,"5 km NE of Medford, Oklahoma",36.8455,-97.7005,2018
3.3,"9 km ESE of Jefferson, Oklahoma",36.6963,-97.6853,2018
3.1,"5 km NNW of Breckinridge, Oklahoma",36.4849,-97.7577,2018
3.0,"10 km WSW of Shamrock, Oklahoma",35.8653,-96.6804,2018
3.0,"10 km E of Dover, Oklahoma",35.9725,-97.7941,2018
3.4,"17 km SE of Waynoka, Oklahoma",36.4534,-98.7699,2018
3.0,"22 km NE of Fort Supply, Oklahoma",36.7131,-99.38600000000001,2018
3.0,"8 km SE of Byron, Oklahoma",36.8425,-98.2396,2018
3.1,"6 km NNW of Breckinridge, Oklahoma",36.4891,-97.7531,2018
3.6,"17 km SE of Waynoka, Oklahoma",36.4509,-98.7673,2018
3.8,"3 km WNW of Byron, Oklahoma",36.9111,-98.32799999999999,2018
3.0,"5 km NNW of Breckinridge, Oklahoma",36.4845,-97.7621,2018
4.2,"5 km NNW of Breckinridge, Oklahoma",36.4833,-97.7491,2018
4.2,"4 km N of Breckinridge, Oklahoma",36.478,-97.7411,2018
3.7,"3 km NE of Arcadia, Oklahoma",35.6888,-97.3051,2018
3.0,"7 km SSE of Lucien, Oklahoma",36.2086,-97.4246,2018
3.0,"5 km S of Deer Creek, Oklahoma",36.7557,-97.5248,2018
3.3,"17 km SE of Waynoka, Oklahoma",36.4519,-98.771,2018
3.6,"1 km SSE of Renfrow, Oklahoma",36.913000000000004,-97.6509,2018
3.1,"8 km SW of Perry, Oklahoma",36.2298,-97.3408,2018
3.4,"7 km ENE of Hennessey, Oklahoma",36.1239,-97.8153,2018
3.2,"15 km WSW of Watonga, Oklahoma",35.7914,-98.5748,2018
3.2,"3 km NE of Arcadia, Oklahoma",35.6892,-97.3031,2018
3.1,"28 km ENE of Buffalo, Oklahoma",36.9554,-99.3476,2018
3.7,"9 km SW of Waynoka, Oklahoma",36.5336,-98.9685,2018
3.4,"9 km SW of Waynoka, Oklahoma",36.5355,-98.9648,2018
3.2,"6 km N of Dover, Oklahoma",36.0361,-97.9017,2018
3.5,"5 km N of Dover, Oklahoma",36.033,-97.9069,2018
3.0,"6 km N of Dover, Oklahoma",36.0363,-97.9003,2018
3.0,"6 km NNE of Dover, Oklahoma",36.0415,-97.8949,2018
3.2,"6 km N of Dover, Oklahoma",36.0403,-97.8983,2018
3.2,"6 km N of Dover, Oklahoma",36.0355,-97.9032,2018
3.7,"5 km N of Dover, Oklahoma",36.0325,-97.906,2018
3.2,"6 km N of Foster, Oklahoma",34.6722,-97.4959,2018
3.0,"5 km NNE of Nardin, Oklahoma",36.8544,-97.4305,2018
3.0,"4 km NW of Braman, Oklahoma",36.9542,-97.3656,2018
3.0,"4 km NW of Braman, Oklahoma",36.9551,-97.3628,2018
3.6,"3 km W of Marshall, Oklahoma",36.153,-97.661,2018
3.0,"14 km SSE of Waynoka, Oklahoma",36.459,-98.8168,2018
3.1,"8 km E of Hennessey, Oklahoma",36.1229,-97.8083,2018
3.6,"6 km W of Arcadia, Oklahoma",35.6711,-97.4005,2018
3.1,"7 km N of Nardin, Oklahoma",36.876,-97.44200000000001,2018
3.1,"7 km SW of Indianola, Oklahoma",35.1145,-95.8344,2018
3.4,"7 km NW of Okeene, Oklahoma",36.1603,-98.37700000000001,2018
3.5,Oklahoma,36.1523,-97.6696,2018
3.2,"3 km W of Marshall, Oklahoma",36.1511,-97.6653,2017
3.2,"22 km NE of Fort Supply, Oklahoma",36.7203,-99.3909,2017
3.8,"4 km W of Marshall, Oklahoma",36.1543,-97.671,2017
3.7,"3 km NNE of Dale, Oklahoma",35.4215,-97.024,2017
3.1,"6 km SSW of Langston, Oklahoma",35.8917,-97.2867,2017
3.5,"6 km SSW of Langston, Oklahoma",35.8931,-97.2909,2017
3.5,"3 km W of Marshall, Oklahoma",36.15,-97.6687,2017
3.0,"4 km W of Marshall, Oklahoma",36.1513,-97.6721,2017
3.2,"4 km W of Marshall, Oklahoma",36.153,-97.6706,2017
3.2,"3 km W of Marshall, Oklahoma",36.1542,-97.669,2017
3.0,"5 km NW of Alex, Oklahoma",34.9544,-97.8208,2017
3.8,"8 km WSW of Waynoka, Oklahoma",36.5457,-98.9637,2017
3.0,"6 km NNW of Meridian, Oklahoma",35.8904,-97.2816,2017
3.0,"6 km NNW of Meridian, Oklahoma",35.889,-97.2831,2017
3.1,"17 km W of Aline, Oklahoma",36.5118,-98.6412,2017
3.0,"5 km ESE of Carney, Oklahoma",35.7956,-96.9594,2017
3.5,"2 km NNW of Lambert, Oklahoma",36.7016,-98.4297,2017
3.3,"1 km WSW of Aline, Oklahoma",36.5034,-98.4645,2017
3.2,"9 km W of Orlando, Oklahoma",36.1543,-97.4844,2017
4.1,"10 km SSE of Red Rock, Oklahoma",36.3699,-97.1259,2017
3.0,"5 km W of Carmen, Oklahoma",36.5837,-98.5266,2017
3.1,"3 km NNW of Dover, Oklahoma",36.0121,-97.9287,2017
3.0,"15 km SSW of Freedom, Oklahoma",36.6396,-99.1881,2017
3.4,"6 km E of Hennessey, Oklahoma",36.1069,-97.8283,2017
3.0,"2 km E of Bradley, Oklahoma",34.8772,-97.6821,2017
3.2,"8 km SE of Mulhall, Oklahoma",36.0179,-97.3284,2017
3.0,"5 km W of Arcadia, Oklahoma",35.6697,-97.391,2017
3.6,"6 km W of Arcadia, Oklahoma",35.6704,-97.3933,2017
3.1,"4 km WSW of Seiling, Oklahoma",36.1326,-98.9735,2017
3.3,"7 km N of Nardin, Oklahoma",36.8739,-97.4438,2017
3.5,"2 km SE of Meno, Oklahoma",36.3675,-98.1585,2017
3.2,"15 km SSE of Waynoka, Oklahoma",36.458,-98.7977,2017
3.2,"10 km N of Deer Creek, Oklahoma",36.8999,-97.5166,2017
3.5,"4 km W of Lucien, Oklahoma",36.2819,-97.5042,2017
3.2,"1 km SE of Renfrow, Oklahoma",36.9172,-97.6473,2017
3.3,"5 km N of Dover, Oklahoma",36.0344,-97.906,2017
3.0,"4 km ENE of Morrison, Oklahoma",36.3167,-96.9693,2017
3.0,"9 km W of Orlando, Oklahoma",36.1538,-97.4815,2017
3.1,"3 km WNW of Byron, Oklahoma",36.9108,-98.33,2017
3.4,"3 km W of Byron, Oklahoma",36.9075,-98.3337,2017
3.7,Oklahoma,36.9096,-98.3299,2017
3.5,"6 km N of Dover, Oklahoma",36.0365,-97.9026,2017
3.1,"2 km SE of Meno, Oklahoma",36.3672,-98.1587,2017
3.7,"5 km N of Dover, Oklahoma",36.0319,-97.9082,2017
3.7,"4 km N of Dover, Oklahoma",36.0263,-97.9121,2017
3.2,"5 km N of Dover, Oklahoma",36.0343,-97.9055,2017
3.3,"5 km N of Dover, Oklahoma",36.0269,-97.9106,2017
3.0,"5 km N of Dover, Oklahoma",36.0279,-97.9102,2017
3.9,"5 km N of Dover, Oklahoma",36.0299,-97.9075,2017
3.1,"5 km N of Dover, Oklahoma",36.0328,-97.9046,2017
3.3,"1 km WSW of Aline, Oklahoma",36.5046,-98.4681,2017
3.1,"4 km W of Lucien, Oklahoma",36.2824,-97.50399999999999,2017
3.3,"5 km N of Dover, Oklahoma",36.0306,-97.9068,2017
3.3,"6 km NW of Renfrow, Oklahoma",36.9603,-97.7125,2017
3.1,"1 km S of Renfrow, Oklahoma",36.9137,-97.6539,2017
3.0,"6 km N of Ames, Oklahoma",36.3059,-98.1882,2017
3.0,"7 km W of Buffalo, Oklahoma",36.843,-99.7192,2017
3.3,"7 km NNE of Lake Aluma, Oklahoma",35.5993,-97.40799999999999,2017
3.0,"14 km SSE of Waynoka, Oklahoma",36.4575,-98.8179,2017
3.0,"17 km SSE of Waynoka, Oklahoma",36.4538,-98.7737,2017
3.3,"17 km SE of Waynoka, Oklahoma",36.4554,-98.7686,2017
3.2,"17 km SE of Waynoka, Oklahoma",36.4583,-98.7619,2017
3.3,"7 km NW of Orlando, Oklahoma",36.204,-97.4235,2017
3.5,"16 km SE of Waynoka, Oklahoma",36.4575,-98.7747,2017
3.0,"3 km WNW of Cushing, Oklahoma",35.9915,-96.8025,2017
3.8,"10 km SSE of Red Rock, Oklahoma",36.3711,-97.125,2017
3.0,Oklahoma,35.5634,-96.7377,2017
3.4,"15 km SSE of Waynoka, Oklahoma",36.4583,-98.7977,2017
3.1,"15 km SSE of Waynoka, Oklahoma",36.4573,-98.7991,2017
3.3,"2 km WNW of Cushing, Oklahoma",35.9907,-96.79899999999999,2017
3.5,"3 km SE of Carney, Oklahoma",35.7926,-96.9842,2017
3.8,"10 km WSW of Shamrock, Oklahoma",35.8609,-96.6861,2017
3.4,"5 km WNW of Lucien, Oklahoma",36.291,-97.5125,2017
3.0,"1 km SSW of Cherokee, Oklahoma",36.7402,-98.3656,2017
3.3,"4 km WNW of Lucien, Oklahoma",36.2876,-97.5079,2017
3.0,"1 km SSW of Cherokee, Oklahoma",36.7404,-98.368,2017
3.6,"8 km ESE of Sparks, Oklahoma",35.5637,-96.7392,2017
3.3,"3 km WNW of Cushing, Oklahoma",35.9918,-96.804,2017
3.1,"3 km WNW of Cushing, Oklahoma",35.9914,-96.8015,2017
3.0,"9 km NNW of Hunter, Oklahoma",36.641,-97.7026,2017
3.0,"4 km WNW of Lucien, Oklahoma",36.2872,-97.5069,2017
4.3,"9 km ESE of Jefferson, Oklahoma",36.6996,-97.68299999999999,2017
3.3,"6 km S of Glencoe, Oklahoma",36.1711,-96.9168,2017
3.7,"1 km E of Luther, Oklahoma",35.6618,-97.18299999999999,2017
3.0,"6 km NNE of Wakita, Oklahoma",36.9357,-97.8898,2017
3.5,"6 km NE of Carmen, Oklahoma",36.6135,-98.4002,2017
3.4,"4 km WNW of Lucien, Oklahoma",36.2837,-97.5043,2017
3.5,"15 km WSW of Watonga, Oklahoma",35.7871,-98.566,2017
3.2,"3 km SSW of Meno, Oklahoma",36.3583,-98.2003,2017
3.0,"3 km SW of Meno, Oklahoma",36.3621,-98.1982,2017
3.1,"6 km NNE of Wakita, Oklahoma",36.9374,-97.885,2017
3.2,"4 km NE of Coyle, Oklahoma",35.9808,-97.1979,2017
3.6,"6 km ENE of Edmond, Oklahoma",35.677,-97.4139,2017
3.1,"10 km WSW of Shamrock, Oklahoma",35.8636,-96.6837,2017
3.3,"7 km ENE of Hennessey, Oklahoma",36.1238,-97.8157,2017
3.0,"16 km SE of Waynoka, Oklahoma",36.4583,-98.7745,2017
3.0,"16 km SSE of Waynoka, Oklahoma",36.4571,-98.7807,2017
3.2,"6 km W of Isabella, Oklahoma",36.2333,-98.4083,2017
3.5,"6 km ENE of Edmond, Oklahoma",35.6733,-97.4071,2017
3.5,"9 km WSW of Shamrock, Oklahoma",35.8639,-96.6759,2017
3.1,"5 km SSE of Guthrie, Oklahoma",35.8352,-97.391,2017
3.3,"6 km W of Arcadia, Oklahoma",35.6745,-97.40299999999999,2017
3.3,"16 km SSE of Waynoka, Oklahoma",36.4554,-98.7938,2017
3.2,"15 km SSE of Waynoka, Oklahoma",36.4564,-98.795,2017
4.2,"6 km ENE of Edmond, Oklahoma",35.672,-97.4047,2017
3.0,"6 km ENE of Edmond, Oklahoma",35.6717,-97.4056,2017
3.3,"6 km W of Arcadia, Oklahoma",35.6704,-97.4038,2017
3.3,"6 km ENE of Edmond, Oklahoma",35.6703,-97.4039,2017
3.3,"6 km ENE of Edmond, Oklahoma",35.673,-97.4057,2017
3.0,"6 km W of Arcadia, Oklahoma",35.669000000000004,-97.3985,2017
3.1,"8 km SW of Waynoka, Oklahoma",36.5374,-98.9612,2017
3.1,"15 km SSE of Waynoka, Oklahoma",36.4562,-98.8023,2017
3.3,"9 km N of Nash, Oklahoma",36.7494,-98.0416,2017
3.3,"5 km N of Stroud, Oklahoma",35.7986,-96.6506,2017
3.2,"10 km SW of Stillwater, Oklahoma",36.0399,-97.1245,2017
3.2,"10 km WSW of Shamrock, Oklahoma",35.8642,-96.6838,2017
3.6,"5 km NE of Carmen, Oklahoma",36.6176,-98.4197,2017
3.3,"10 km E of Red Rock, Oklahoma",36.4454,-97.0626,2017
3.2,"10 km WSW of Shamrock, Oklahoma",35.8628,-96.6819,2017
3.2,"4 km ESE of Fairview, Oklahoma",36.247,-98.4382,2017
3.0,"10 km WSW of Shamrock, Oklahoma",35.8595,-96.6881,2017
3.0,"6 km N of Dover, Oklahoma",36.0361,-97.9013,2017
3.4,"10 km NE of Kendrick, Oklahoma",35.86,-96.6992,2017
3.6,"10 km WSW of Shamrock, Oklahoma",35.861,-96.6822,2017
3.5,"10 km WSW of Shamrock, Oklahoma",35.861999999999995,-96.6857,2017
4.2,"10 km WSW of Shamrock, Oklahoma",35.8591,-96.6833,2017
3.3,"4 km WNW of Lucien, Oklahoma",36.2834,-97.5074,2017
3.0,"6 km N of Maramec, Oklahoma",36.3026,-96.6712,2017
3.0,"13 km WNW of Canton, Oklahoma",36.1119,-98.7234,2017
3.4,"6 km N of Maramec, Oklahoma",36.3009,-96.6908,2017
3.1,"5 km SSW of Medford, Oklahoma",36.7659,-97.7631,2017
3.1,"2 km ENE of Jet, Oklahoma",36.6789,-98.15700000000001,2017
3.2,"5 km N of Coyle, Oklahoma",36.0076,-97.2371,2017
3.5,"9 km SW of Waynoka, Oklahoma",36.533,-98.9667,2017
3.3,"9 km W of Red Rock, Oklahoma",36.4723,-97.2848,2017
3.0,"6 km W of Sparks, Oklahoma",35.6176,-96.8946,2017
3.2,"3 km SE of Dibble, Oklahoma",35.012,-97.5951,2017
3.3,Oklahoma,36.2848,-97.5067,2017
3.4,Oklahoma,36.4373,-98.7528,2017
3.2,"8 km ENE of Calumet, Oklahoma",35.6372,-98.0396,2017
3.1,"8 km SE of Pond Creek, Oklahoma",36.6087,-97.7451,2017
3.1,"15 km WNW of Alva, Oklahoma",36.871,-98.8188,2017
3.2,"6 km SE of Fairview, Oklahoma",36.2274,-98.4308,2017
3.1,"15 km SSE of Waynoka, Oklahoma",36.4584,-98.795,2017
3.0,"2 km NNE of Luther, Oklahoma",35.6811,-97.1817,2017
3.1,"10 km W of Lamont, Oklahoma",36.6987,-97.6707,2017
3.1,"17 km SE of Waynoka, Oklahoma",36.4715,-98.7472,2017
3.5,"16 km SSE of Waynoka, Oklahoma",36.4569,-98.7903,2017
3.1,"15 km SSE of Waynoka, Oklahoma",36.4562,-98.7973,2017
3.2,"1 km N of Lambert, Oklahoma",36.6999,-98.427,2017
3.1,"9 km NW of Pawnee, Oklahoma",36.4032,-96.8796,2017
3.8,"4 km W of Lucien, Oklahoma",36.2809,-97.5051,2017
3.0,"15 km SSE of Waynoka, Oklahoma",36.4559,-98.8021,2017
3.7,"4 km W of Lucien, Oklahoma",36.2826,-97.5071,2017
3.0,"15 km SSE of Waynoka, Oklahoma",36.4575,-98.7966,2017
3.1,"1 km W of Chester, Oklahoma",36.2168,-98.9332,2017
3.1,"9 km NE of Kendrick, Oklahoma",35.84,-96.6911,2017
3.2,"5 km WSW of Tuttle, Oklahoma",35.2678,-97.8648,2017
3.1,"9 km SW of Waynoka, Oklahoma",36.5319,-98.9705,2017
3.3,"6 km SE of Meridian, Oklahoma",35.796,-97.2005,2017
3.1,"6 km SW of Shamrock, Oklahoma",35.874,-96.64,2017
3.2,"15 km WNW of Alva, Oklahoma",36.8677,-98.8225,2017
3.7,"1 km NNW of Lambert, Oklahoma",36.6998,-98.4305,2017
3.2,"6 km W of Sparks, Oklahoma",35.6178,-96.8917,2017
3.2,"1 km NNW of Lambert, Oklahoma",36.6998,-98.4312,2017
3.2,"17 km SE of Waynoka, Oklahoma",36.4771,-98.7385,2017
3.0,"16 km SE of Waynoka, Oklahoma",36.4801,-98.7407,2017
4.2,"17 km SE of Waynoka, Oklahoma",36.4782,-98.7365,2017
3.0,"17 km SE of Waynoka, Oklahoma",36.4617,-98.7521,2017
3.4,"16 km SSE of Waynoka, Oklahoma",36.4561,-98.7885,2017
3.6,"16 km SSE of Waynoka, Oklahoma",36.4562,-98.7888,2017
3.2,"15 km SSE of Waynoka, Oklahoma",36.4566,-98.7929,2017
3.4,"6 km NE of Hunter, Oklahoma",36.6019,-97.6111,2017
3.2,"5 km NE of Hunter, Oklahoma",36.6013,-97.6169,2017
3.0,"8 km NE of Marshall, Oklahoma",36.2183,-97.5683,2017
3.1,"7 km SE of Meridian, Oklahoma",35.7936,-97.1923,2017
3.3,"10 km W of Lamont, Oklahoma",36.6999,-97.6698,2017
3.2,"16 km SE of Waynoka, Oklahoma",36.4613,-98.7675,2017
3.0,Oklahoma,35.7991,-96.6522,2017
3.0,"10 km W of Lamont, Oklahoma",36.698,-97.6711,2017
3.0,"16 km SE of Waynoka, Oklahoma",36.4763,-98.7432,2017
3.3,"7 km N of Spencer, Oklahoma",35.5926,-97.3733,2017
3.0,"4 km WNW of Medford, Oklahoma",36.8214,-97.77600000000001,2017
3.0,"7 km N of Spencer, Oklahoma",35.5902,-97.3731,2017
3.3,"8 km ENE of Cherokee, Oklahoma",36.7908,-98.2712,2017
3.6,"9 km W of Lamont, Oklahoma",36.7037,-97.6681,2017
3.0,Oklahoma,36.7033,-97.67,2017
3.2,"3 km SE of Meno, Oklahoma",36.3613,-98.1568,2017
3.1,"9 km W of Lamont, Oklahoma",36.7002,-97.6673,2017
3.0,"7 km SSE of Lucien, Oklahoma",36.2082,-97.4265,2017
3.0,"14 km NW of Pawnee, Oklahoma",36.4315,-96.9094,2017
3.1,"7 km NNW of Orlando, Oklahoma",36.2071,-97.4255,2017
3.5,"7 km NNW of Orlando, Oklahoma",36.2055,-97.4246,2017
3.1,"10 km W of Lamont, Oklahoma",36.7013,-97.6729,2017
3.2,"10 km W of Lamont, Oklahoma",36.7015,-97.6705,2017
3.4,"8 km WSW of Glencoe, Oklahoma",36.214,-97.014,2017
3.0,"17 km SSE of Waynoka, Oklahoma",36.4453,-98.7923,2017
3.1,"17 km SSE of Waynoka, Oklahoma",36.4418,-98.7823,2017
3.2,"9 km SW of Waynoka, Oklahoma",36.5327,-98.971,2017
3.0,"13 km NW of Pawnee, Oklahoma",36.419000000000004,-96.9144,2017
3.3,"5 km SSE of Helena, Oklahoma",36.5069,-98.238,2017
3.3,"4 km NE of Coyle, Oklahoma",35.9867,-97.1955,2017
3.5,"5 km NE of Coyle, Oklahoma",35.9885,-97.1934,2017
3.0,"7 km S of Byron, Oklahoma",36.8363,-98.2782,2017
4.1,"8 km W of Deer Creek, Oklahoma",36.815,-97.6114,2017
3.0,"15 km WNW of Canton, Oklahoma",36.1239,-98.7321,2017
3.8,"4 km ENE of Pond Creek, Oklahoma",36.6835,-97.757,2017
3.0,"4 km SSE of Covington, Oklahoma",36.2746,-97.5636,2017
3.1,"4 km SSE of Covington, Oklahoma",36.2751,-97.5659,2017
3.6,"4 km SSE of Covington, Oklahoma",36.2757,-97.5625,2017
3.6,"7 km ENE of Hennessey, Oklahoma",36.137,-97.8224,2017
3.1,"3 km SW of Fallis, Oklahoma",35.7279,-97.1494,2017
