RG,SITE_ID,SITE_EPA_ID,SITE_NAME,SITE_STRT_ADRS1,SITE_STRT_ADRS2,SITE_CITY_NAME,SITE_STATE,SITE_ZIP_CODE,SITE_CONG_DISTRICT,SITE_CNTY_NAME,SITE_FIPS_CODE,LATITUDE,LONGITUDE,ALT_AGREEMENT,NPL,FF,NON_NPL_STATUS,FULL_ADDRESS,COORDINATES,SITE_URL
9,900885,AZ0971590062,YUMA MARINE CORPS AIR STATION,AVENUE 3E,,YUMA,AZ,85369,"02,4",YUMA,4027.0,32.654581,-114.5888,N,Currently on the Final NPL,Y,Y,"AVENUE 3E, YUMA, AZ, 85369","(32.6563405, -114.5812606)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0900885
9,900497,AZD008397127,ASARCO HAYDEN PLANT,640 ASARCO AVE,,HAYDEN,AZ,85235,"04,1",GILA,4007.0,33.001389,-110.768611,Y,Not on the NPL,N,N,"640 ASARCO AVE, HAYDEN, AZ, 85235","(32.9996543, -110.7817663)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0900497
9,900517,AZD009004177,"MOTOROLA, INC. (52ND STREET PLANT)",5005 E MCDOWELL RD,,PHOENIX,AZ,85008,"01,7",MARICOPA,4013.0,33.461669,-111.9708,N,Currently on the Final NPL,N,N,"5005 E MCDOWELL RD, PHOENIX, AZ, 85008","(33.4657759, -112.0082564)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0900517
9,900648,AZD980496780,NINETEENTH AVENUE LANDFILL,19TH AVE,,PHOENIX,AZ,85041,"02,07",MARICOPA,4013.0,33.416669,-112.0917,N,Deleted from the Final NPL,N,N,"19TH AVE, PHOENIX, AZ, 85041","(33.940968, -114.468689)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0900648
9,900684,AZD980737530,TUCSON INTERNATIONAL AIRPORT AREA,NOGALES HWY,,TUCSON,AZ,85734,"05,3",PIMA,4019.0,32.105561,-110.9333,N,Currently on the Final NPL,N,N,"NOGALES HWY, TUCSON, AZ, 85734","(32.0470215, -110.9488927)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0900684
6,600023,ARD000023440,"VERTAC, INC.",MARSHALL RD,,JACKSONVILLE,AR,72076,02,PULASKI,5119.0,34.878,-92.1312,N,Currently on the Final NPL,N,N,"MARSHALL RD, JACKSONVILLE, AR, 72076","(34.8888, -92.124451)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600023
6,603651,ARD049658628,MOUNTAIN PINE PRESSURE TREATING,HIGHWAY 28,,PLAINVIEW,AR,72857,04,YELL,5149.0,34.984167,-93.302222,N,Currently on the Final NPL,N,N,"HIGHWAY 28, PLAINVIEW, AR, 72857","(34.9886334, -93.2993979)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0603651
6,600106,ARD059636456,FRIT INDUSTRIES,INDUSTRIAL PARK,,WALNUT RIDGE,AR,72476,01,LAWRENCE,5075.0,36.105,-90.941669,N,Deleted from the Final NPL,N,N,"INDUSTRIAL PARK, WALNUT RIDGE, AR, 72476","(36.0675321, -90.9567801)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600106
6,600236,ARD980809941,JACKSONVILLE MUNICIPAL LANDFILL,GRAHAM RD,,JACKSONVILLE,AR,72076,01,LONOKE,5085.0,34.863331,-92.071661,N,Deleted from the Final NPL,N,N,"GRAHAM RD, JACKSONVILLE, AR, 72076","(34.8669643, -92.097768)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600236
9,902226,CAD980893234,WATKINS-JOHNSON CO. (STEWART DIVISION PLANT),440 KINGS VILLAGE RD,,SCOTTS VALLEY,CA,95066,"15,18",SANTA CRUZ,6087.0,37.051111,-122.029028,N,Currently on the Final NPL,N,N,"440 KINGS VILLAGE RD, SCOTTS VALLEY, CA, 95066","(37.05045830532997, -122.02980711752224)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902226
9,902228,CAD980893275,SULPHUR BANK MERCURY MINE,SULPHUR BANK ROAD,,CLEARLAKE OAKS,CA,95422,"01,03",LAKE,6033.0,39.00555,-122.6703,N,Currently on the Final NPL,N,N,"SULPHUR BANK ROAD, CLEARLAKE OAKS, CA, 95422","(39.002588, -122.659875)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902228
9,902280,CAD981171523,"SOLA OPTICAL USA, INC.",3600 LAKEVILLE HWY,,PETALUMA,CA,94952,"06,2",SONOMA,6097.0,38.2332,-122.5931,N,Deleted from the Final NPL,N,N,"3600 LAKEVILLE HWY, PETALUMA, CA, 94952","(38.23453, -122.593782)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902280
9,902440,CAD981436363,UNITED HECKATHORN CO.,8TH & WRIGHT,,RICHMOND,CA,94804,"07,11",CONTRA COSTA,6013.0,37.9226,-122.3654,N,Currently on the Final NPL,N,N,"8TH & WRIGHT, RICHMOND, CA, 94804","(37.9211887, -122.3580891)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902440
9,902527,CAD981997752,MODESTO GROUND WATER CONTAMINATION,NEAR MODESTO,,MODESTO,CA,95351,"10,18",STANISLAUS,6099.0,37.6591,-120.9964,N,Currently on the Final NPL,N,N,"NEAR MODESTO, MODESTO, CA, 95351","(37.65133245, -121.00973944034)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902527
9,904343,CAD983618893,LAVA CAP MINE,14501 LAVA CAP MINE ROAD,,NEVADA CITY,CA,95959,"02,2",NEVADA,6057.0,39.228056,-120.969861,N,Currently on the Final NPL,N,N,"14501 LAVA CAP MINE ROAD, NEVADA CITY, CA, 95959","(39.2351775, -120.9729405)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0904343
9,904596,CAD983650011,ARGONAUT MINE,ARGONAUT LANE,,JACKSON,CA,95642,01,AMADOR,6005.0,38.353333,-120.78575,N,Currently on the Final NPL,N,N,"ARGONAUT LANE, JACKSON, CA, 95642","(38.3597739, -120.7893701)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0904596
9,902617,CAD990793887,FIRESTONE TIRE & RUBBER CO. (SALINAS PLANT),340 EL CAMINO REAL S,,SALINAS,CA,93901,"17,20",MONTEREY,6053.0,36.6249,-121.5901,N,Deleted from the Final NPL,N,N,"340 EL CAMINO REAL S, SALINAS, CA, 93901","(36.6741129, -121.6408081)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902617
9,902620,CAD990832735,"SYNERTEK, INC. (BUILDING 1)",3050 CORONADO BLVD,,SANTA CLARA,CA,95051,"15,17",SANTA CLARA,6085.0,37.3773,-121.9719,N,Currently on the Final NPL,N,N,"3050 CORONADO BLVD, SANTA CLARA, CA, 95051","(37.40953733974662, -121.87159683939782)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902620
9,900251,CAN000900251,ORANGE COUNTY NORTH BASIN,1012 EAST ELM AVENUE,,ORANGE COUNTY,CA,92831,39,ORANGE,6059.0,33.854828000000005,-117.93058899999998,N,Currently on the Final NPL,N,N,"1012 EAST ELM AVENUE, ORANGE COUNTY, CA, 92831","(33.8639714898308, -117.91051263077492)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0900251
9,902632,CAT000612184,INTEL CORP. (SANTA CLARA III),2880 NORTHWESTERN PKWY,,SANTA CLARA,CA,95051,"15,17",SANTA CLARA,6085.0,37.3737,-121.9717,N,Deleted from the Final NPL,N,N,"2880 NORTHWESTERN PKWY, SANTA CLARA, CA, 95051","(37.37325901008149, -121.97208690500194)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902632
9,902673,CAT080012024,"OPERATING INDUSTRIES, INC., LANDFILL",900 N POTRERO GRANDE DR,,MONTEREY PARK,CA,91754,"27,31,34",LOS ANGELES,6037.0,34.033333,-118.105556,N,Currently on the Final NPL,N,N,"900 N POTRERO GRANDE DR, MONTEREY PARK, CA, 91754","(34.0336187, -118.1216262)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902673
9,902708,CAT080034234,"ADVANCED MICRO DEVICES, INC. (BUILDING 915)",915 DEGUIGNE,,SUNNYVALE,CA,94086,"14,17",SANTA CLARA,6085.0,37.3868,-122.0066,N,Currently on the Final NPL,N,N,"915 DEGUIGNE, SUNNYVALE, CA, 94086","(37.38500075, -122.00805674564566)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902708
9,905334,CA0001576081,AMCO CHEMICAL,1414 THIRD STREET,,OAKLAND,CA,94607,"08,13",ALAMEDA,6001.0,37.8025,-122.29375,N,Currently on the Final NPL,N,N,"1414 THIRD STREET, OAKLAND, CA, 94607","(37.79532115, -122.27163265)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0905334
9,905902,CAN000905902,SOUTHERN AVENUE INDUSTRIAL AREA,5211 SOUTHERN AVENUE,,SOUTH GATE,CA,90280,44,LOS ANGELES,6037.0,33.946178,-118.176922,N,Currently on the Final NPL,N,N,"5211 SOUTHERN AVENUE, SOUTH GATE, CA, 90280","(33.945946816326526, -118.17819008163265)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0905902
9,905945,CAN000905945,"ROCKETS, FIREWORKS, AND FLARES SITE",3196 NORTH LOCUST AVENUE,,RIALTO,CA,92377,31,SAN BERNARDINO,6071.0,34.153683,-117.416567,N,Currently on the Final NPL,N,N,"3196 NORTH LOCUST AVENUE, RIALTO, CA, 92377","(34.1358943, -117.4097647)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0905945
9,902731,CA2170023236,ALAMEDA NAVAL AIR STATION,W END CITY OF ALAMEDA,,ALAMEDA,CA,94501,"09,13",ALAMEDA,6001.0,37.78888900000001,-122.33,N,Currently on the Final NPL,Y,Y,"W END CITY OF ALAMEDA, ALAMEDA, CA, 94501","(37.7724287, -122.2810806)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902731
9,902732,CA2170023533,CAMP PENDLETON MARINE CORPS BASE,CAMP PENDLETON MARINE BASE,,CAMP PENDLETON,CA,92055,"48,49",SAN DIEGO,6073.0,33.306669,-117.3408,N,Currently on the Final NPL,Y,Y,"CAMP PENDLETON MARINE BASE, CAMP PENDLETON, CA, 92055","(33.3070018, -117.47376)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902732
9,902740,CA2890012584,"LAWRENCE LIVERMORE NATL LAB, MAIN SITE (USDOE)",7000 EAST AVE,,LIVERMORE,CA,94550,"10,15",ALAMEDA,6001.0,37.688061,-121.7047,N,Currently on the Final NPL,Y,Y,"7000 EAST AVE, LIVERMORE, CA, 94550","(37.6820273, -121.70629145000001)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902740
9,902742,CA2890090002,LAWRENCE LIVERMORE NATL LAB (SITE 300) (USDOE),CORRAL HOLLOW ROAD,,TRACY,CA,95376,"10,15",SAN JOAQUIN,6077.0,37.644306,-121.576667,N,Currently on the Final NPL,Y,Y,"CORRAL HOLLOW ROAD, TRACY, CA, 95376","(37.740088, -121.4529899)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902742
9,904786,CA2890190000,LABORATORY FOR ENERGY-RELATED HEALTH RESEARCH/OLD CAMPUS LANDFILL (USDOE),OLD DAVIS RD,,DAVIS,CA,95616,"03,3",SOLANO,6095.0,38.51875,-121.75125,N,Currently on the Final NPL,Y,Y,"OLD DAVIS RD, DAVIS, CA, 95616","(38.54758657845667, -121.73921021786)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0904786
9,902762,CA4971520834,TRACY DEFENSE DEPOT (USARMY),CHRISMAN RD,,TRACY,CA,95376,"10,11",SAN JOAQUIN,6077.0,37.715281,-121.3911,N,Currently on the Final NPL,Y,Y,"CHRISMAN RD, TRACY, CA, 95376","(37.7290354, -121.3982259)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902762
9,902778,CA7170024528,CONCORD NAVAL WEAPONS STATION,PORT CHICAGO HWY,,CONCORD,CA,94520,"07,11",CONTRA COSTA,6013.0,38.049444,-122.0,N,Currently on the Final NPL,Y,Y,"PORT CHICAGO HWY, CONCORD, CA, 94520","(37.9839976, -122.0321209)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902778
9,902785,CA7210020759,RIVERBANK ARMY AMMUNITION PLANT,5300 CLAUS RD,,RIVERBANK,CA,95367,"10,18",STANISLAUS,6099.0,37.71695,-120.9181,N,Currently on the Final NPL,Y,Y,"5300 CLAUS RD, RIVERBANK, CA, 95367","(37.71500155555555, -120.92182371717172)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902785
9,902792,CA8210020832,SHARPE ARMY DEPOT,700 EAST ROTH RD,,LATHROP,CA,95330,"09,11",SAN JOAQUIN,6077.0,37.829169,-121.2672,N,Currently on the Final NPL,Y,Y,"700 EAST ROTH RD, LATHROP, CA, 95330","(37.8555246, -121.2836558)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902792
9,903438,CA9800013030,JET PROPULSION LABORATORY (NASA),4800 OAK GROVE DR,,PASADENA,CA,91109,27,LOS ANGELES,6037.0,34.201184999999995,-118.167434,N,Currently on the Final NPL,Y,Y,"4800 OAK GROVE DR, PASADENA, CA, 91109","(34.194236, -118.177664)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0903438
9,900917,CAD000625731,J.H. BAXTER & CO.,422 MILL ST,,WEED,CA,96094,"01,02",SISKIYOU,6093.0,41.4364,-122.3707,N,Currently on the Final NPL,N,N,"422 MILL ST, WEED, CA, 96094","(41.432116125771834, -122.37897135989684)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0900917
9,901126,CAD009103318,JASCO CHEMICAL CORP.,1710 VILLA ST,,MOUNTAIN VIEW,CA,94041,"14,18",SANTA CLARA,6085.0,37.3988,-122.0882,N,Deleted from the Final NPL,N,N,"1710 VILLA ST, MOUNTAIN VIEW, CA, 94041","(37.39808530596651, -122.08950041160482)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901126
9,901128,CAD009106220,T.H. AGRICULTURE & NUTRITION CO.,7183 E MCKINLEY AVE,,FRESNO,CA,93727,"19,22",FRESNO,6019.0,36.76472800000001,-119.660501,N,Deleted from the Final NPL,N,N,"7183 E MCKINLEY AVE, FRESNO, CA, 93727","(36.76475233770925, -119.66064098242455)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901128
9,901129,CAD009106527,MCCORMICK & BAXTER CREOSOTING CO.,1214 W WASHINGTON ST,,STOCKTON,CA,95203,"11,9",SAN JOAQUIN,6077.0,37.947851,-121.306635,N,Currently on the Final NPL,N,N,"1214 W WASHINGTON ST, STOCKTON, CA, 95203","(37.94767902375594, -121.30679686121532)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901129
9,901134,CAD009111444,TELEDYNE SEMICONDUCTOR,1300 TERRA BELLA AVE,,MOUNTAIN VIEW,CA,94043,"14,18",SANTA CLARA,6085.0,37.4108,-122.0797,N,Currently on the Final NPL,N,N,"1300 TERRA BELLA AVE, MOUNTAIN VIEW, CA, 94043","(37.41025, -122.0812052)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901134
9,901135,CAD009112087,"KOPPERS CO., INC. (OROVILLE PLANT)",BAGGETT-MARYSVILLE RD,,OROVILLE,CA,95965,"01,02",BUTTE,6007.0,39.470831,-121.5643,N,Currently on the Final NPL,N,N,"BAGGETT-MARYSVILLE RD, OROVILLE, CA, 95965","(39.475709, -121.556949)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901135
9,901181,CAD009159088,"TRW MICROWAVE, INC (BUILDING 825)",825 STEWART DR,,SUNNYVALE,CA,94086,"14,17",SANTA CLARA,6085.0,37.3846,-122.0085,N,Currently on the Final NPL,N,N,"825 STEWART DR, SUNNYVALE, CA, 94086","(37.38403351694777, -122.00956953032676)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901181
9,901202,CAD009205097,RAYTHEON CORP.,350 ELLIS ST,,MOUNTAIN VIEW,CA,94043,"14,18",SANTA CLARA,6085.0,37.3975,-122.0533,N,Currently on the Final NPL,N,N,"350 ELLIS ST, MOUNTAIN VIEW, CA, 94043","(37.397586399999994, -122.05394110942387)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901202
9,901242,CAD009688052,HALACO ENGINEERING COMPANY,6200 PERKINS,,OXNARD,CA,93033,"20,26",VENTURA,6111.0,34.138889,-119.181944,N,Currently on the Final NPL,N,N,"6200 PERKINS, OXNARD, CA, 93033","(34.140027, -119.18388)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901242
9,901287,CAD029295706,LORENTZ BARREL & DRUM CO.,1515 S 10TH ST,,SAN JOSE,CA,95112,"16,19",SANTA CLARA,6085.0,37.318611,-121.8644,N,Currently on the Final NPL,N,N,"1515 S 10TH ST, SAN JOSE, CA, 95112","(37.31945318771844, -121.86534433319964)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901287
9,901344,CAD042728840,APPLIED MATERIALS,3050 BOWERS AVE,,SANTA CLARA,CA,95051,"15,17",SANTA CLARA,6085.0,37.3777,-121.9777,N,Currently on the Final NPL,N,N,"3050 BOWERS AVE, SANTA CLARA, CA, 95051","(37.3532295, -121.97764)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901344
9,901389,CAD048634059,"ADVANCED MICRO DEVICES, INC.",901 THOMPSON PL,,SUNNYVALE,CA,94086,"14,17",SANTA CLARA,6085.0,37.3825,-122.0086,N,Currently on the Final NPL,N,N,"901 THOMPSON PL, SUNNYVALE, CA, 94086","(37.38245538429173, -122.0074911171113)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901389
9,901391,CAD048645444,BECKMAN INSTRUMENTS (PORTERVILLE PLANT),167 W POPLAR AVE,,PORTERVILLE,CA,93257,"21,23",TULARE,6107.0,36.049,-119.0201,N,Currently on the Final NPL,N,N,"167 W POPLAR AVE, PORTERVILLE, CA, 93257","(36.05115400982494, -119.01903163218894)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901391
9,901398,CAD049236201,MONOLITHIC MEMORIES,1165 E ARQUES AVE,,SUNNYVALE,CA,94086,"14,17",SANTA CLARA,6085.0,37.3816,-121.9968,N,Currently on the Final NPL,N,N,"1165 E ARQUES AVE, SUNNYVALE, CA, 94086","(37.38059001015581, -121.99928650583472)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901398
9,903253,CAD055753370,COOPER DRUM CO.,9316 ATLANTIC AVE,,SOUTH GATE,CA,90280,"33,44",LOS ANGELES,6037.0,33.946971999999995,-118.179694,N,Currently on the Final NPL,N,N,"9316 ATLANTIC AVE, SOUTH GATE, CA, 90280","(33.94783935988768, -118.18151155496018)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0903253
9,901482,CAD061620217,INTEL CORP. (MOUNTAIN VIEW PLANT),365 E MIDDLEFIELD RD,,MOUNTAIN VIEW,CA,94040,"14,18",SANTA CLARA,6085.0,37.3962,-122.0566,N,Currently on the Final NPL,N,N,"365 E MIDDLEFIELD RD, MOUNTAIN VIEW, CA, 94040","(37.3963426, -122.05784496724456)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901482
9,901490,CAD063020143,"VALLEY WOOD PRESERVING, INC.",2237 S GOLDEN STATE BLVD,,TURLOCK,CA,95380,"10,18",STANISLAUS,6099.0,37.4727,-120.8239,N,Currently on the Final NPL,N,N,"2237 S GOLDEN STATE BLVD, TURLOCK, CA, 95380","(37.4938638, -120.8451233)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901490
9,903424,CAD066635442,STOKER COMPANY,3390 DOGWOOD ROAD,,IMPERIAL,CA,92251,"51,52",IMPERIAL,6025.0,32.910278000000005,-115.544444,N,Proposed for NPL,N,N,"3390 DOGWOOD ROAD, IMPERIAL, CA, 92251","(32.8906474145322, -115.53541491782012)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0903424
9,901554,CAD071530380,FRONTIER FERTILIZER,COUNTY ROAD 32A,,DAVIS,CA,95618,"03,3",YOLO,6113.0,38.552588,-121.703615,N,Currently on the Final NPL,N,N,"COUNTY ROAD 32A, DAVIS, CA, 95618","(38.5578128, -121.675591)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901554
9,901661,CAD092212497,INTEL MAGNETICS,3000 OAKMEAD VILLAGE DR,,SANTA CLARA,CA,95051,"15,17",SANTA CLARA,6085.0,37.3756,-121.9801,N,Currently on the Final NPL,N,N,"3000 OAKMEAD VILLAGE DR, SANTA CLARA, CA, 95051","(37.375839, -121.980413)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901661
9,901685,CAD097012298,FAIRCHILD SEMICONDUCTOR CORP. (SOUTH SAN JOSE PLANT),101 BERNAL ROAD,,SAN JOSE,CA,95119,"15,19",SANTA CLARA,6085.0,37.2326,-121.7748,N,Currently on the Final NPL,N,N,"101 BERNAL ROAD, SAN JOSE, CA, 95119","(37.232499, -121.772354)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901685
9,901694,CAD098229214,ALARK HARD CHROME,2777 MAIN STREET,,RIVERSIDE,CA,92501,"41,43",RIVERSIDE,6065.0,33.991886,-117.367186,N,Currently on the Final NPL,N,N,"2777 MAIN STREET, RIVERSIDE, CA, 92501","(33.99131688743131, -117.36829954755103)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901694
9,901736,CAD980496863,ATLAS ASBESTOS MINE,LOS GATOS CREEK RD NW OF FRESNO,,COALINGA,CA,93210,"20,21",FRESNO,6019.0,36.321669,-120.5867,N,Currently on the Final NPL,N,Y,"LOS GATOS CREEK RD NW OF FRESNO, COALINGA, CA, 93210","(36.1439778, -120.3225916)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901736
9,901757,CAD980498695,MCCOLL,ROSECRANS & SUNNY RIDGE,,FULLERTON,CA,92833,39,ORANGE,6059.0,33.8953,-117.9712,N,Currently on the Final NPL,N,N,"ROSECRANS & SUNNY RIDGE, FULLERTON, CA, 92833","(33.8929281, -117.9564404)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901757
9,901841,CAD980636781,PACIFIC COAST PIPELINE,67 E TELEGRAPH RD,,FILLMORE,CA,93015,26,VENTURA,6111.0,34.404169,-118.9028,N,Currently on the Final NPL,N,N,"67 E TELEGRAPH RD, FILLMORE, CA, 93015","(34.399040900643996, -118.90348814737762)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901841
9,902025,CAD980736284,INDUSTRIAL WASTE PROCESSING,7140 N HARRISON,,FRESNO,CA,93650,"16,19",FRESNO,6019.0,36.8425,-119.8094,N,Currently on the Final NPL,N,N,"7140 N HARRISON, FRESNO, CA, 93650","(36.842320779893306, -119.81055261303857)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902025
